author,body,datalegacylang,clean_text,speech_category
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood \n\n➡️https://t.co/2OUr6g88Jy\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""Exposed \nThe dog was caught and loaded onto a truck with the text 'Dengfeng City Livestock and Poultry Harmless https://t.co/OYUTLmvucI""",en,"""our support against the heinous dogmeattrade in china sharing from . until it puts an end to this hell \""exposed the dog was caught and loaded onto a truck with the text 'dengfeng city livestock and poultry harmless",Hate Speech
Kangarooei,"#BoycottChina, it’s a shit hole!!!!",en,", its a shit hole!!!!",Hate Speech
SerdarOzdemir99,@AmbassadeChine You are a disgusting society. The whole world knows the Chinese from the videos of them torturing cats and dogs. And the whole world hates the Chinese.\n\n#XiJinping #BoycottChina,en,you are a disgusting society. the whole world knows the chinese from the videos of them torturing cats and dogs. and the whole world hates the chinese. xijinping,Hate Speech
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/6TeJs432q9\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""The old woman turned away and wept bitterly after selling the dog (to the meat trade). \nWords fail me... \nWas she https://t.co/tvksMEi8v6""",en,"""our support against the heinous dogmeattrade in china sharing from . until it puts an end to this hell \""the old woman turned away and wept bitterly after selling the dog (to the meat trade). words fail me... was she",Hate Speech
NickLoconteJr,"When social media is used to torture animals for cheap praise &amp; profit, that's when you know humans are unworthy of their dominion over the animal kingdom. We should be caretakers of this world, not conquerers &amp; abusers. 😡#AnimalCruelty #BoycottChina",en,"when social media is used to torture animals for cheap praise &amp; profit, that's when you know humans are unworthy of their dominion over the animal kingdom. we should be caretakers of this world, not conquerers &amp; abusers. animalcruelty",Dangerous Speech
nimernight38961,"#China\n#MadeInChina\n#BoycottChina\nThe daily suffer from Cats and Kittens are captured on Camera, sold for Profit and pleasure. \nWe demand Animal protection laws in China❗❗❗❗❗",en,"china madeinchina the daily suffer from cats and kittens are captured on camera, sold for profit and pleasure. we demand animal protection laws in china",Dangerous Speech
IrisMay8552,@CarlaCo92330391 @True8bebe4 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en,sos shame on china stopchinacattorture how long more will china government stay silent against evil cat killers in this country? stopanimalcruelty saveyulindogs stopyulinforever bananimalcrueltybylaw,Dangerous Speech
Lailabeke,#BoycottChina \nEvil,en,evil,Dangerous Speech
KarenBloor2,@Samesamaalways Evil country #BoycottChina,en,evil country,Dangerous Speech
No_More_China,So much safety in China. \n#BoycottChina,en,so much safety in china.,Hate Speech
ModaBella15,@RueRarue2025 Shame on #China #BoycottChina unable to educate its own population https://t.co/UlYeebxU2F,en,shame on china unable to educate its own population,Hate Speech
ModaBella15,@PhaedraXTeddy Shame on #China #BoycottChina https://t.co/1olvvvvC6f,en,shame on china,Hate Speech
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en,this is why we must . no excuse.,Hate Speech
Luxsparrow0,@PhaedraXTeddy Shame China\n#BoycottChina,en,shame china,Hate Speech
NotSlaver,@Samesamaalways https://t.co/0sBenJVGqB\nLet's denounce what is happening in China and what the animals are suffering. \n@EU_Commission #StopAbuseDogs #BoycottChina #ChinaCruelMind,en,let's denounce what is happening in china and what the animals are suffering. stopabusedogs chinacruelmind,Hate Speech
Luxsparrow0,@disobbedisco114 @Henry22059650 @eAnKt8fTsTThYG3 Shame CHINA\nShame CHINA\nShame CHINA\n#BoycottChina,en,shame china shame china shame china,Hate Speech
DominaDivineNC,"Poor, poor dogs. #BoycottChina",en,"poor, poor dogs.",Hate Speech
No_More_China,Don’t buy anything from the supermarket that’s made in China. #BoycottChina,en,dont buy anything from the supermarket thats made in china.,Hate Speech
wh0isbanshee,"@yibokjp DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en,"do something, china! stopanimalabuserschina chinaneedsanimallaw shameonchina china",Hate Speech
SerdarOzdemir99,"@ChinainVan You Chinese can eat anything. That's why you'll never starve to death.\nIf you get really hungry, you can eat your own feces and survive.\n\n#XiJinping #BoycottChina",en,"you chinese can eat anything. that's why you'll never starve to death. if you get really hungry, you can eat your own feces and survive. xijinping",Hate Speech
NickLoconteJr,Fugly fat glob of shit 🤬  #AnimalCruelty #BoycottChina #StopChinaCatTorture,en,fugly fat glob of shit animalcruelty stopchinacattorture,Hate Speech
RASPrive,#BoycottChina unreal horrors of live organ removal from young healthy people is actually happening - no anesthesia,en,unreal horrors of live organ removal from young healthy people is actually happening - no anesthesia,Hate Speech
QAyine,@Samesamaalways #BoycottChina I hate this hell and their demons,en,i hate this hell and their demons,Hate Speech
Marcemgffvg,"A country where animal cruelty is applauded and supported, while citizens who protest against cruelty are treated as criminals. Is that the policy of the Chinese government? They talk about wanting friendship with our countries, while they promote cruelty #BoycottChina #Sociedad",en,"a country where animal cruelty is applauded and supported, while citizens who protest against cruelty are treated as criminals. is that the policy of the chinese government? they talk about wanting friendship with our countries, while they promote cruelty sociedad",Dangerous Speech
Kangarooei,"@jetaime244 Not just dogs, China has no animal welfare laws, they eat nearly every species and are cruel to animals. They love to torture animals and #BoycottChina.",en,"not just dogs, china has no animal welfare laws, they eat nearly every species and are cruel to animals. they love to torture animals and .",Dangerous Speech
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/HWtXwd4YE2\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""Cruel activities in southern China \nThis is what the volunteers say \nVolunteers discovered and reported a dog https://t.co/PDYbybxmdf""",en,"""our support against the heinous dogmeattrade in china sharing from . until it puts an end to this hell \""cruel activities in southern china this is what the volunteers say volunteers discovered and reported a dog",Hate Speech
Kangarooei,Un evolved disgusting country. #BoycottChina. 🤬😡🤬😡☠️,en,un evolved disgusting country. .,Hate Speech
Kangarooei,Disgusting Country #BoycottChina,en,disgusting country,Hate Speech
No_More_China,We let these people migrate to Australia and buy our properties. #BoycottChina,en,we let these people migrate to australia and buy our properties.,Hate Speech
No_More_China,So sustainable. \n#BoycottChina,en,so sustainable.,Hate Speech
tisdaleorwhat,"China has:\nNO animal protection laws\nNO real ban on smoking (even where regulations exist, they’re just on paper and never enforced)\n\nThese are two key markers of a civilized society, and China lacks both.\n\n#boycottchina #chinaanimalabuse",en,"china has: no animal protection laws no real ban on smoking (even where regulations exist, theyre just on paper and never enforced) these are two key markers of a civilized society, and china lacks both. chinaanimalabuse",Dangerous Speech
Shambhalawot1,#CommunismKills\n#BoycottChina\nThis is exactly what happens when the only value a Communist system gives people is to serve as cogs to serve the machine.,en,communismkills this is exactly what happens when the only value a communist system gives people is to serve as cogs to serve the machine.,Hate Speech
yadavnarender85,"@Kangarooei #BoycottIndia. What a terrible thing to do, the unevolved brutes need extermination!!! This is heartbreaking 💔. As bad as #BoycottChina as well. 😡🤬☠️💔😢",en,"boycottindia. what a terrible thing to do, the unevolved brutes need extermination!!! this is heartbreaking . as bad as as well.",Hate Speech
AlexS_2902,@brahma_4u Chinese thieves! #BoycottChina,en,chinese thieves!,Hate Speech
Kangarooei,"Could it be they are unevolved. Look at the way they treat animals, cruel and disgusting, 😡🤬Boycott India #BoycottChina 😡🤬",en,"could it be they are unevolved. look at the way they treat animals, cruel and disgusting, boycott india",Hate Speech
Wangli720985,"Gansu &amp; Sichuan temples under CCP boot: Shi Taifeng enforces Sinicization, turning sacred Buddhist sites into party propaganda hubs. This is assimilation by force. #EndChinaGenocide #FreeTibetans #BoycottChina\nhttps://t.co/RaLetP7G42 https://t.co/CitzQlvL6A",en,"gansu &amp; sichuan temples under ccp boot: shi taifeng enforces sinicization, turning sacred buddhist sites into party propaganda hubs. this is assimilation by force. endchinagenocide freetibetans",Hate Speech
tisdaleorwhat,The official article seeking public opinions was taken down/deleted on April 23rd for unknown reason. The legislation isn't as promising as everyone thought. Keep #boycottchina,en,the official article seeking public opinions was taken down/deleted on april 23rd for unknown reason. the legislation isn't as promising as everyone thought. keep,Hate Speech
No_More_China,"China will lie, cheat and deceive at every possible opportunity. It is a culture built on greed and making money by cheating others. Why do we still allow thousands of Chinese nationals to buy their way in to our country? #StopImmigration #BoycottChina",en,"china will lie, cheat and deceive at every possible opportunity. it is a culture built on greed and making money by cheating others. why do we still allow thousands of chinese nationals to buy their way in to our country? stopimmigration",Hate Speech
hanyscatfella,@branaf0 @NyisztorLivia Xiiiiit. \n\nAaaanyways.\n#BoycottChina,en,xiiiiit. aaaanyways.,Hate Speech
No_More_China,Good question. Starting to happen in Australia too. #BoycottChina,en,good question. starting to happen in australia too.,Hate Speech
No_More_China,How do Chinese government officials allow this level of criminal incompetence to continue? Corruption and a complete apathy to human life without consequences. We should no longer allow Chinese nationals to migrate to western countries. #BoycottChina,en,how do chinese government officials allow this level of criminal incompetence to continue? corruption and a complete apathy to human life without consequences. we should no longer allow chinese nationals to migrate to western countries.,Hate Speech
No_More_China,To think Chinese nationals would do anything different when they migrate to the west is naive and stupid. We shouldn’t allow these people to con their way into our civilised societies through scam education or investment visas. #BoycottChina,en,to think chinese nationals would do anything different when they migrate to the west is naive and stupid. we shouldnt allow these people to con their way into our civilised societies through scam education or investment visas.,Hate Speech
Marcemgffvg,"This cat torturer and killer, part of a Telegram network responsible for the torture and murder of over 1000 cats, has been arrested.  Thanks to the Chinese activists and volunteers for not giving up, for their courage in achieving this arrest #BoycottChina #StopAnimalCruelty",en,"this cat torturer and killer, part of a telegram network responsible for the torture and murder of over 1000 cats, has been arrested. thanks to the chinese activists and volunteers for not giving up, for their courage in achieving this arrest stopanimalcruelty",Hate Speech
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA.\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en,"do something, china. stopanimalabuserschina chinaneedsanimallaw shameonchina china",Hate Speech
Kangarooei,"Ffs, Chinese have no idea , they will eat bloody anything with eyes, they have no animal welfare laws, evolve you shit bags.#BoycottChina",en,"ffs, chinese have no idea , they will eat bloody anything with eyes, they have no animal welfare laws, evolve you shit bags.",Dangerous Speech
AlexS_2902,"@india_plus_ Well, he is right. There is no 1 China, CCPCvcks can fvck 0ff! #FreeTibet #BoycottChina",en,"well, he is right. there is no 1 china, ccpcvcks can fvck 0ff! freetibet",Hate Speech
ModaBella15,"@real_insight_1 #China The Chinese can only be defined by negative things: uncivilized, poorly educated, unintelligent, lazy, thieves, liars, heartless, soulless, unhygienic #BoycottChina",en,"china the chinese can only be defined by negative things: uncivilized, poorly educated, unintelligent, lazy, thieves, liars, heartless, soulless, unhygienic",Hate Speech
BillyGrzanka,"@ReclaimD1 I totally understand! It fucking sucks when people like us bust their asses can’t get ahead. Seems like we’re just living our lives \n just to barely survive. I’ve owned my small business for almost 10 years, between the #Plandemic #ChinaVirus now the STUPID #IranWar it’s fucked",en,"i totally understand! it fucking sucks when people like us bust their asses cant get ahead. seems like were just living our lives just to barely survive. ive owned my small business for almost 10 years, between the plandemic now the stupid iranwar its fucked",Hate Speech
BruceWayne_42,Another #ChinaVirus silently swallowing the Earth.,en,another silently swallowing the earth.,Hate Speech
BruceWayne_42,#ChinaVirus getting exposed,en,getting exposed,Hate Speech
BruceWayne_42,Another one bites the Fire #ChinaVirus,en,another one bites the fire,Hate Speech
BruceWayne_42,There are hundreds of videos of Chinese EVs getting fire even though China has a Great Firewall. Imagine the real numbers had there been no firewall.\n\nYou can't trust Chinese EVs. #ChinaVirus,en,there are hundreds of videos of chinese evs getting fire even though china has a great firewall. imagine the real numbers had there been no firewall. you can't trust chinese evs.,Hate Speech
BruceWayne_42,Chinese Propaganda getting busted everyday.  #ChinaVirus,en,chinese propaganda getting busted everyday.,Hate Speech
BruceWayne_42,The Real #ChinaVirus,en,the real,Hate Speech
BruceWayne_42,People are now waking up to real #ChinaVirus,en,people are now waking up to real,Hate Speech
zeomonkey,China Is Covering Up A New Outbreak?\n\nMillion People Vanish?\n\nFuneral Homes Overflowing?\n\n#chinaoutbreak #chineseoutbreak #chinavirus #virus #china\nhttps://t.co/fqzUBBTTNr,en,china is covering up a new outbreak? million people vanish? funeral homes overflowing? chinaoutbreak chineseoutbreak virus china,Hate Speech
real_bossdog22,https://t.co/5yexpAyLO3\n\nif its #whiteprivilege #whitesupremacist = mob/mafia\nif its #chinavirus #kungflu #ricerockets = triads/yakuza\nif its #ruca #illegalalien #undocumented = cartel/ms13\n\nget it right #nytimes,en,if its whiteprivilege whitesupremacist = mob/mafia if its kungflu ricerockets = triads/yakuza if its ruca illegalalien undocumented = cartel/ms13 get it right nytimes,Hate Speech
MpscAspirant9,https://t.co/AtvjbbRWE4\nBe aware world 🌎 ⚠️\nAnòther possible virus going to come from China  After Wuhan Virus as usual 🇨🇳🤡\n\n#ChinaVirus \n#WihanVirus \n#China\n#Iran\n#USA\n#Israel\n#Hormuz\n#Virus,en,be aware world anther possible virus going to come from china after wuhan virus as usual wihanvirus china iran usa israel hormuz virus,Hate Speech
Real_DennisL,"Do people remember how the Democrats politicized the pandemic, also known as the #ChinaVirus? #FNewsom is doing it again...",en,"do people remember how the democrats politicized the pandemic, also known as the ? fnewsom is doing it again...",Hate Speech
deeJseg1,"Keep trusting Western medical care, even though #CCPChina #wuflu #chinavirus is the problem! Hello! I’d like to invite you to our Space: Healing &amp; Healthcare 🚑⛑️🏥. It takes less than a minute to join our community, @FundItSocially 🔥. https://t.co/ycpfMleq0L",en,"keep trusting western medical care, even though ccpchina wuflu is the problem! hello! id like to invite you to our space: healing &amp; healthcare . it takes less than a minute to join our community, .",Hate Speech
jiffyman9,About like them mask and 6 ft stickers during #ChinaVirus,en,about like them mask and 6 ft stickers during,Hate Speech
stevosplace01,"There is always 1 nong who can't understand alot of people have lived in china, it's not just Chinese.\n5 years later, they are still trying 2 convince the world, that covid didn't start in china when the world knows China is the home &amp; maker of the 🇨🇳 virus\n#WuhanFlu\n#ChinaVirus",en,"there is always 1 nong who can't understand alot of people have lived in china, it's not just chinese. 5 years later, they are still trying 2 convince the world, that covid didn't start in china when the world knows china is the home &amp; maker of the virus wuhanflu",Hate Speech
AntiWokeWar_,Trump has decided to stop using the term 'China Virus' out of respect for China. He previously referred to COVID as the 'China virus' but acknowledges it is accurate. #Trump #COVID #ChinaVirus 🔴🇺🇸 https://t.co/g1NHm4ZAHP,en,trump has decided to stop using the term 'china virus' out of respect for china. he previously referred to covid as the 'china virus' but acknowledges it is accurate. trump covid,Hate Speech
BruceWayne_42,That's how Chinese Propaganda works. They only tell their side of the story.\n\n#ChinaVirus,en,that's how chinese propaganda works. they only tell their side of the story.,Hate Speech
CoachOkay,Follow the Science! Happy to say I too am un-vaxxed for the Wuhan Virus known as #covid #ChinaVirus,en,follow the science! happy to say i too am un-vaxxed for the wuhan virus known as covid,Hate Speech
alex_091209,QoTD: Had China and Germany intentionally coordinated to interfere the 2020 US election via the #chinavirus outbreak in Wuhan? \n\nNo amnesty on them and hold them accountable. \n\n#china #germany,en,qotd: had china and germany intentionally coordinated to interfere the 2020 us election via the outbreak in wuhan? no amnesty on them and hold them accountable. china germany,Hate Speech
jiffyman9,Praise the Lord for that safe and effective #ChinaVirus shot! @DrBenTapper1,en,praise the lord for that safe and effective shot!,Hate Speech
alex_091209,China virus docs are released amid the trade war. Do you think whether it’s coincidence? \n\nIt’s just the beginning..\n\n#chinavirus #tradewar,en,china virus docs are released amid the trade war. do you think whether its coincidence? its just the beginning.. tradewar,Hate Speech
BostonIsupk,Why no action against the Wuhan lab after the COVID-19 outbreak? Some question if focusing on domestic issues means overlooking accountability for the virus's origin. #ChinaVirus #Accountability https://t.co/giKxhtTHZr,en,why no action against the wuhan lab after the covid-19 outbreak? some question if focusing on domestic issues means overlooking accountability for the virus's origin. accountability,Hate Speech
WIONews,China Virus: Fresh Cases Of China's HMPV Virus In India\n\nWatch the full video at https://t.co/L7lDU56nhr\n\n#china #hmpvvirus #chinavirus #WIONOriginals,en,china virus: fresh cases of china's hmpv virus in india watch the full video at china hmpvvirus wionoriginals,Hate Speech
CarpioJudge,Covid-19 lawsuits.  \nThis is where &amp; how it should be done: \nSue CCP where its assets are &amp; get compensated.\n#wuhanflu #chinavirus #Chinaflu #covid19,en,covid-19 lawsuits. this is where &amp; how it should be done: sue ccp where its assets are &amp; get compensated. wuhanflu chinaflu covid19,Hate Speech
MonkeyTrav,Another virus from China is spreading around the world\n\n#ChinaVirus\nhttps://t.co/GxPGlYIz0u,en,another virus from china is spreading around the world,Hate Speech
ctcoff99,If only we had had people 5 years who were trying to make this known.  🙄\n#ChinaVirus,en,if only we had had people 5 years who were trying to make this known.,Hate Speech
lostNlogic,"Daaaamn. \nThe White House hittin back at these Chinese AI meme videos! Lmao 😂\n\nLFG 🇺🇸\nThese Chinese folk,\nDon’t want no smoke💨\n \n(No offense intended to Chinese people, I’m not racist… Don’t even start with me Felicia)\n\nBUT #Chinavirus 👀 thooo!?",en,"daaaamn. the white house hittin back at these chinese ai meme videos! lmao lfg these chinese folk, dont want no smoke (no offense intended to chinese people, im not racist dont even start with me felicia) but thooo!?",Hate Speech
SystemDebunked,DeepSeek leaked user data in addition to purchasing Nvidia chips in a criminal way.\n\n#DeepSeek \n#IA\n#chinavirus https://t.co/BjuFgZfFfR,en,deepseek leaked user data in addition to purchasing nvidia chips in a criminal way. deepseek ia,Hate Speech
jiffyman9,#ChinaVirus lockdowns,en,lockdowns,Hate Speech
jiffyman9,That sucked when @joebiden locked the country down during #ChinaVirus,en,that sucked when locked the country down during,Hate Speech
jiffyman9,Panetta hasn't got a clue what hes talking about! How did all that free oil during #ChinaVirus work out! Trump completely filled the strategic reserves!,en,panetta hasn't got a clue what hes talking about! how did all that free oil during work out! trump completely filled the strategic reserves!,Hate Speech
rhenning45,#STFU... you lost all credibility when your party destroyed people's careers for refusing to take the #ChinaVirus Covid serum!!\n\nFollow the FACTS in regards to Autism rates.\n\nFOLLOW THE SCIENCE!!\n\nGet out of the pockets of #BigPharma !!\n\nYou should resign NOW!!\n\n#GodBlessRFK,en,stfu... you lost all credibility when your party destroyed people's careers for refusing to take the covid serum!! follow the facts in regards to autism rates. follow the science!! get out of the pockets of bigpharma !! you should resign now!! godblessrfk,Hate Speech
doug_maga,#Fauci has to go down for this!  #CCP #Chinavirus killed millions!,en,fauci has to go down for this! ccp killed millions!,Hate Speech
rhenning45,"""How many military personnel were fired because they refused the #ChinaVirus Covid \""Vaccine\"" injection ???\n\nWhich the serum was proven to be totally ineffective and dangerous to some people!!\n\nDid they get any hugs??""",en,"""how many military personnel were fired because they refused the covid \""vaccine\"" injection ??? which the serum was proven to be totally ineffective and dangerous to some people!! did they get any hugs??""",Hate Speech
AchoWendyR,"COVID-19 vaccination has decimated the US population by increasing deaths and decreasing births #ChinaVirus COVID-19 vaccination was linked to almost 70,000 fewer US live births in 2023 @RapidResponse47 @StephenM @elonmusk \n\nhttps://t.co/OzfXmc1pbw",en,"covid-19 vaccination has decimated the us population by increasing deaths and decreasing births covid-19 vaccination was linked to almost 70,000 fewer us live births in 2023",Hate Speech
CcpReporter,"As #COVID19 Continues to Spread in China, Doctors Anticipate Major Peak in July #CCP #ChinaVirus https://t.co/ZFBp5uq4A5",en,"as covid19 continues to spread in china, doctors anticipate major peak in july ccp",Hate Speech
IronIndianRider,#FangFang is about to go #Bangbang #ChinaVirus #MCGA,en,fangfang is about to go bangbang mcga,Hate Speech
KshitijPersonal,Any photograph? Proof? At least screenshot from video game.\n\n#Pakistan #PakistanIsATerrorState #ChinaVirus,en,any photograph? proof? at least screenshot from video game. pakistan pakistanisaterrorstate,Hate Speech
Conboytoy,"I totally agree 💯. Ever since the #chinavirus . I  don't trust 'medical professionals '. My dad was right, it's all about $$$$$, big pharma and even little things like optometrists and audiologists, there bosses force the so called professionals to lie and say you need glasses",en,"i totally agree . ever since the . i don't trust 'medical professionals '. my dad was right, it's all about $$$$$, big pharma and even little things like optometrists and audiologists, there bosses force the so called professionals to lie and say you need glasses",Hate Speech
SRather49475,"257 Covid patients, 2 dead.\n\nCovid spreading in India, AGAIN\n#COVID19 \n#india\n#chinavirus",en,"257 covid patients, 2 dead. covid spreading in india, again covid19 india",Hate Speech
rhenning45,It didn't prevent the spread of or keep anyone contracting the #Chinavirus!!\n\nThat's a fact.  \n\n#Purebloods are not anti-vac... we were anti-covid serum!!! Also anti-goverment medical mandates!!\n\nMedical #FREEDOM,en,it didn't prevent the spread of or keep anyone contracting the !! that's a fact. purebloods are not anti-vac... we were anti-covid serum!!! also anti-goverment medical mandates!! medical freedom,Hate Speech
jiffyman9,"F,D,A,E,B,C. B Fell way down due to #ChinaVirus!",en,"f,d,a,e,b,c. b fell way down due to !",Hate Speech
jiffyman9,Bye @JimmyKimmelLive @jimmykimmel take that #covid #ChinaVirus shot and shove it up @Disney ass!,en,bye take that covid shot and shove it up ass!,Hate Speech
doug_maga,I will go with #Trump doesn't think 400% is enough after #CCP #Chinavirus killed millions...😉,en,i will go with trump doesn't think 400% is enough after ccp killed millions...,Hate Speech
Man_Bayer_X,This two fcukers need to go prison because of #chinavirus #Vaccine https://t.co/haKR9eOjha,en,this two fcukers need to go prison because of vaccine,Hate Speech
Outhere,"How you Democrats lie,after \nLockdown  of our Parents,grandparents  from there families  during a #chinavirus ,you now cry for ILLEGALS  and there families ,no tears for American  tax payers. #NeverForget.",en,"how you democrats lie,after lockdown of our parents,grandparents from there families during a ,you now cry for illegals and there families ,no tears for american tax payers. neverforget.",Hate Speech
NZMAGAMike,About time. Another win for the racists and conspiracy theorists.  #ChinaVirus https://t.co/3ppvkBjUhB,en,about time. another win for the racists and conspiracy theorists.,Hate Speech
dilbag_koundal,"Govt must ban his YouTube channel in India  @dhruv_rathee \n\nThis cheap guy can’t talk about terrorism / #BangladeshViolence #Pakistan / #ChinaVirus or anything India 🇮🇳 do better he starts criticise, he is congress ecosystem/puppet. \n\nTake action @AmitShah @narendramodi @PMOIndia https://t.co/1TUwrtQnbA",en,"govt must ban his youtube channel in india this cheap guy cant talk about terrorism / bangladeshviolence pakistan / or anything india do better he starts criticise, he is congress ecosystem/puppet. take action",Hate Speech
SolomonYue,Racist yourself⁉️I called #COVIDー19 #ChinaVirus‼️ #China isn't a race‼️I passed my RNC resolution to hold China and #XiJinping accountable because Xi allowed ChinaVirus infected Chinese to travel to America infecting and killing us. Xi and I belong to the same Han racial group‼️,en,racist yourselfi called covid19 china isn't a racei passed my rnc resolution to hold china and xijinping accountable because xi allowed chinavirus infected chinese to travel to america infecting and killing us. xi and i belong to the same han racial group,Hate Speech
jiffyman9,Biggest @mlb bullshit rule of all time! #DEI #WOKE #ChinaVirus #Bullshit,en,biggest bullshit rule of all time! dei woke bullshit,Enraged Speech
CryptoMowz,Conspiracy theorists are right again....🥱\n\n#ChinaVirus,en,conspiracy theorists are right again....,Hate Speech
IAmManofJustice,Economic Terrorists back in action.\nMore dangerous than Kasab\n\nNeed to remind that #HardeepSinghPuri is same fraud who sided with airlines &amp; made public beg of ticket refunds during #chinavirus #lockdown\n\nHow many frauds in your cabinet man @narendramodi\n#india #lpg #LPGPriceHike,en,economic terrorists back in action. more dangerous than kasab need to remind that hardeepsinghpuri is same fraud who sided with airlines &amp; made public beg of ticket refunds during lockdown how many frauds in your cabinet man india lpg lpgpricehike,Hate Speech
